1,Marcha,marcha,0000-00-00 00:00:00
2,Alternador,alternador,0000-00-00 00:00:00
3,Sistema de Inyección,inyeccion,0000-00-00 00:00:00
4,Sistema de Encendido,encendido,0000-00-00 00:00:00
